recipe_name,required_capability
artifact_reference,has_artifact_refs
co_commit_user_user,has_commits
co_edit_file_user_user,has_commits
co_edit_file_user_user,has_file_touches
co_edit_line_user_user,has_commits
co_edit_line_user_user,has_line_touches
dev_interaction,has_pull_requests
dev_interaction,has_pr_reviews
dev_interaction,has_issues
dev_interaction,has_comments
developer_repo_affiliation,has_pull_requests
developer_repo_affiliation,has_pr_reviews
developer_repo_affiliation,has_issues
developer_repo_affiliation,has_comments
follow_user_user,has_follows
fork_repo_repo,has_forks
issue_co_participation,has_issues
issue_co_participation,has_comments
issue_participation,has_issues
issue_participation,has_comments
pr_author_reviewer,has_pull_requests
pr_author_reviewer,has_pr_reviews
pr_participation,has_pull_requests
pr_participation,has_pr_reviews
pr_reviewer_coreview,has_pull_requests
pr_reviewer_coreview,has_pr_reviews
repo_shared_contributors,has_pull_requests
repo_shared_contributors,has_pr_reviews
repo_shared_contributors,has_issues
repo_shared_contributors,has_comments
star_user_repo,has_stars
user_mention_user,has_mentions
user_mention_user,has_comments
watch_user_repo,has_watches
